ht_id,gr_no,formclass_id,dating_from,dating_to,start_date,end_date,centroid,formclass_description
37729,G0280.050,1083,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Amenemhet I. Sehetepibre,-2009,-1910,-1959.5,
26183,G0280.025,1228,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Amenemhet I. Sehetepibre,-2009,-1910,-1959.5,
26184,G0280.025,1228,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Amenemhet I. Sehetepibre,-2009,-1910,-1959.5,
26185,G0280.025,1228,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Amenemhet I. Sehetepibre,-2009,-1910,-1959.5,
37553,G0280.025,1228,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Amenemhet I. Sehetepibre,-2009,-1910,-1959.5,
37819,G0280.025,1228,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Amenemhet I. Sehetepibre,-2009,-1910,-1959.5,
37820,G0280.025,1228,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Amenemhet I. Sehetepibre,-2009,-1910,-1959.5,
23399,G0280.050,1083,Mentuhotep IV. Nebtawire,Amenemhet I. Sehetepibre,-1947,-1910,-1928.5,
23400,G0280.050,1083,Mentuhotep IV. Nebtawire,Amenemhet I. Sehetepibre,-1947,-1910,-1928.5,
23401,G0280.050,1083,Mentuhotep IV. Nebtawire,Amenemhet I. Sehetepibre,-1947,-1910,-1928.5,
2572,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2573,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2574,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2626,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2627,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2722,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2723,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2758,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2759,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2799,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2834,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2835,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2836,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2837,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2880,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2881,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2922,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2923,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2924,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3033,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3034,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3074,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3075,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3076,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3106,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3116,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3117,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3118,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3119,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3120,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3158,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3159,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3160,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3198,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3391,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3392,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3393,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3451,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3452,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3453,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3535,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3536,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3652,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3653,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3739,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3740,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3790,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3791,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3830,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3831,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3832,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3833,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3834,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3892,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3968,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4018,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4019,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4065,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4066,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4067,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4068,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4101,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4109,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4127,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4152,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4194,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4195,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4238,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4284,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4328,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4397,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4398,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4427,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4448,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4491,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4492,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4545,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4577,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4578,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4579,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4608,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4609,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4610,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4639,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4672,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4673,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4674,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4715,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4874,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4875,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4876,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4877,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4942,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4949,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4956,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35337,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35340,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35341,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35342,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35343,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35344,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35345,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35346,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35347,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35348,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35349,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35350,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35351,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35352,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35353,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35354,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35371,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35372,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35373,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35374,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35375,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35376,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35377,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35378,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35380,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35381,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35382,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35383,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35384,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35385,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35386,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35471,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35926,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35927,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35928,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
35929,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
49858,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
49859,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
49860,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
49861,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
49862,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
49863,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2760,G0280.100,1084,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2882,G0280.100,1084,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3077,G0280.100,1084,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3078,G0280.100,1084,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3199,G0280.100,1084,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3669,G0280.100,1084,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3741,G0280.100,1084,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3792,G0280.100,1084,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4428,G0280.100,1084,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4449,G0280.100,1084,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4611,G0280.100,1084,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4717,G0280.100,1084,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
