"Mittleres Reich, 11. Dynastie (nach der Reichseinigung), Mentuhotep II. Nebhepetre (Gesamtzeitraum) – Mittleres Reich, 11. Dynastie (nach der Reichseinigung), Mentuhotep IV. Nebtawire","Brooklyn (NY), The Brooklyn Museum, 37.1507EKairo, Ägyptisches Museum, CG 28023"
"Mittleres Reich, 11. Dynastie (nach der Reichseinigung), Mentuhotep II. Nebhepetre (Gesamtzeitraum) – Mittleres Reich, 11. Dynastie (nach der Reichseinigung), Mentuhotep IV. Nebtawire","Deir el-Bahari, Tempelareal, TT 319"
"Mittleres Reich, 11. Dynastie (nach der Reichseinigung) – Zweite Zwischenzeit","Berkeley (CA), University of California - Bancroft Library, P.Hearst.0001"
"Mittleres Reich, 11. Dynastie (nach der Reichseinigung) – Zweite Zwischenzeit, 13. Dynastie","London, British Museum, EA 10762"
Mittleres Reich,"Paris, Musée du Louvre, E 15594"
Mittleres Reich,"London, British Museum, EA 10610"
Mittleres Reich,"London, British Museum, EA 10753"
"Mittleres Reich, 11. Dynastie (nach der Reichseinigung) – Mittleres Reich, 12. Dynastie","Sankt Petersburg, State Hermitage Museum, 1115"
Mittleres Reich,"Turin, Museo Egizio, CGT 54003"
Mittleres Reich,"Berlin, Ägyptisches Museum und Papyrussammlung,"
"Mittleres Reich, 11. Dynastie (nach der Reichseinigung) – Mittleres Reich, 12. Dynastie","Berlin, Ägyptisches Museum und Papyrussammlung, P. 10482"
Mittleres Reich,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10004"
Mittleres Reich,"Berlin, Ägyptisches Museum und Papyrussammlung, Brief R"
Mittleres Reich,"Berlin, Ägyptisches Museum und Papyrussammlung, Tempeltagebuch Jahr 3"
"Mittleres Reich, 11. Dynastie (nach der Reichseinigung)","Berlin, Ägyptisches Museum und Papyrussammlung, ÄM 13772"
"Mittleres Reich, 11. Dynastie (nach der Reichseinigung)","Kairo, Ägyptisches Museum, CG 28027"
"Mittleres Reich, 11. Dynastie (nach der Reichseinigung)","Kairo, Ägyptisches Museum, CG 91061"
"Mittleres Reich, 11. Dynastie (nach der Reichseinigung), Mentuhotep IV. Nebtawire – Mittleres Reich, 12. Dynastie, Amenemhet I. Sehetepibre","Boston (MA), Museum of Fine Arts, 21.964Boston (MA), Museum of Fine Arts, 21.965"
"Mittleres Reich, 12. Dynastie – Zweite Zwischenzeit, 13. Dynastie","London, British Museum, EA 10760"
"Mittleres Reich, 12. Dynastie","London, British Museum, EA 10274 ro"
"Mittleres Reich, 12. Dynastie","Berlin, Ägyptisches Museum und Papyrussammlung, P. 3023"
"Mittleres Reich, 12. Dynastie","Berlin, Ägyptisches Museum und Papyrussammlung, P. 3022"
"Mittleres Reich, 12. Dynastie","Berlin, Ägyptisches Museum und Papyrussammlung, P. 3024"
"Mittleres Reich, 12. Dynastie","Berlin, Ägyptisches Museum und Papyrussammlung, P. 3025"
"Mittleres Reich, 12. Dynastie","Paris, Bibliothèque Nationale de France, Egyptien 183"
"Mittleres Reich, 12. Dynastie","Paris, Bibliothèque Nationale de France, Egyptien 186–194"
"Mittleres Reich, 12. Dynastie","Kairo, Ägyptisches Museum, JE 71580"
"Mittleres Reich, 12. Dynastie","Berlin, Ägyptisches Museum und Papyrussammlung, P. 3024"
"Mittleres Reich, 12. Dynastie","Berlin, Ägyptisches Museum und Papyrussammlung, P. 10499 vo"
"Mittleres Reich, 12. Dynastie","Berlin, Ägyptisches Museum und Papyrussammlung, P. 10499 ro"
"Mittleres Reich, 12. Dynastie","London, British Museum, EA 10274 vo"
"Mittleres Reich, 12. Dynastie","London, Petrie Museum of Egyptian Archaeology, UC 32209"
"Mittleres Reich, 12. Dynastie","London, Petrie Museum of Egyptian Archaeology, UC 32178"
"Mittleres Reich, 12. Dynastie","London, Petrie Museum of Egyptian Archaeology, UC 32198"
"Mittleres Reich, 12. Dynastie","London, Petrie Museum of Egyptian Archaeology, UC 32200"
"Mittleres Reich, 12. Dynastie","London, Petrie Museum of Egyptian Archaeology, UC 32213"
"Mittleres Reich, 12. Dynastie","London, Petrie Museum of Egyptian Archaeology, UC 32189"
"Mittleres Reich, 12. Dynastie","New York City, Pierpont Morgan Library, Amh. Egy. Pap. 4"
"Mittleres Reich, 12. Dynastie","Berlin, Ägyptisches Museum und Papyrussammlung, Tp Gr."
"Mittleres Reich, 12. Dynastie","Berlin, Ägyptisches Museum und Papyrussammlung, P. 10011"
"Mittleres Reich, 12. Dynastie, Amenemhet I. Sehetepibre – Mittleres Reich, 12. Dynastie, Amenemhet II. Nubkaure","London, British Museum, EA 10758"
"Mittleres Reich, 12. Dynastie, Amenemhet I. Sehetepibre","New York City, Metropolitan Museum of Art, 22.3.525"
"Mittleres Reich, 12. Dynastie, Sesostris I. Cheperkare","New York City, Metropolitan Museum of Art, 22.3.516"
"Mittleres Reich, 12. Dynastie, Sesostris I. Cheperkare","New York City, Metropolitan Museum of Art, 22.3.517"
"Mittleres Reich, 12. Dynastie, Sesostris I. Cheperkare","New York City, Metropolitan Museum of Art, 22.3.518"
"Mittleres Reich, 12. Dynastie, Sesostris I. Cheperkare","New York City, Metropolitan Museum of Art, 22.3.522"
"Mittleres Reich, 12. Dynastie, Sesostris II. Chacheperre – Mittleres Reich, 12. Dynastie, Sesostris III. Chakaure","Kairo, Ägyptisches Museum, CG 28083"
"Mittleres Reich, 12. Dynastie, Sesostris II. Chacheperre – Mittleres Reich, 12. Dynastie, Sesostris III. Chakaure","Kairo, Ägyptisches Museum, CG 28088"
"Mittleres Reich, 12. Dynastie, Sesostris II. Chacheperre – Mittleres Reich, 12. Dynastie, Sesostris III. Chakaure","London, British Museum, EA 30840"
"Mittleres Reich, 12. Dynastie, Sesostris II. Chacheperre – Mittleres Reich, 12. Dynastie, Sesostris III. Chakaure","London, British Museum, EA 30839"
"Mittleres Reich, 12. Dynastie, Sesostris II. Chacheperre – Mittleres Reich, 12. Dynastie, Sesostris III. Chakaure","London, British Museum, EA 30842"
"Mittleres Reich, 12. Dynastie, Sesostris III. Chakaure","Berlin, Ägyptisches Museum und Papyrussammlung, P. 10010"
"Mittleres Reich, 12. Dynastie, Sesostris III. Chakaure","Berlin, Ägyptisches Museum und Papyrussammlung, P. 10003"
"Mittleres Reich, 12. Dynastie, Amenemhet III. Nimaatre – Zweite Zwischenzeit, 13. Dynastie","London, British Museum, EA 10763"
"Mittleres Reich, 12. Dynastie, Amenemhet III. Nimaatre – Zweite Zwischenzeit, 13. Dynastie","London, British Museum, EA 10757"
"Mittleres Reich, 12. Dynastie, Amenemhet III. Nimaatre – Zweite Zwischenzeit, 13. Dynastie","London, British Museum, EA 10759"
"Mittleres Reich, 12. Dynastie, Amenemhet III. Nimaatre – Mittleres Reich, 12. Dynastie, Nefrusobek Kasobekre","London, Petrie Museum of Egyptian Archaeology, 32157 ro"
"Mittleres Reich, 12. Dynastie, Amenemhet III. Nimaatre – Mittleres Reich, 12. Dynastie, Nefrusobek Kasobekre","London, Petrie Museum of Egyptian Archaeology, 32201"
"Mittleres Reich, 12. Dynastie, Amenemhet III. Nimaatre – Mittleres Reich, 12. Dynastie, Nefrusobek Kasobekre","London, Petrie Museum of Egyptian Archaeology, 32170"
"Mittleres Reich, 12. Dynastie, Amenemhet III. Nimaatre – Mittleres Reich, 12. Dynastie, Nefrusobek Kasobekre","London, Petrie Museum of Egyptian Archaeology, 32161"
"Mittleres Reich, 12. Dynastie, Amenemhet III. Nimaatre – Mittleres Reich, 12. Dynastie, Nefrusobek Kasobekre","London, Petrie Museum of Egyptian Archaeology, 32196"
"Mittleres Reich, 12. Dynastie, Amenemhet III. Nimaatre – Mittleres Reich, 12. Dynastie, Nefrusobek Kasobekre","London, Petrie Museum of Egyptian Archaeology, 32158"
"Mittleres Reich, 12. Dynastie, Amenemhet III. Nimaatre – Mittleres Reich, 12. Dynastie, Nefrusobek Kasobekre","London, Petrie Museum of Egyptian Archaeology, 32215"
"Mittleres Reich, 12. Dynastie, Amenemhet III. Nimaatre – Mittleres Reich, 12. Dynastie, Nefrusobek Kasobekre","London, Petrie Museum of Egyptian Archaeology, 32157 vo"
"Mittleres Reich, 12. Dynastie, Amenemhet III. Nimaatre – Mittleres Reich, 12. Dynastie, Nefrusobek Kasobekre","London, Petrie Museum of Egyptian Archaeology, 32202"
"Mittleres Reich, 12. Dynastie, Amenemhet III. Nimaatre","London, Petrie Museum of Egyptian Archaeology, 32057"
"Mittleres Reich, 12. Dynastie, Amenemhet III. Nimaatre","London, Petrie Museum of Egyptian Archaeology, 32179"
"Mittleres Reich, 12. Dynastie, Amenemhet III. Nimaatre","Berlin, Ägyptisches Museum und Papyrussammlung, P. 10016"
"Mittleres Reich, 12. Dynastie, Amenemhet III. Nimaatre","London, Petrie Museum of Egyptian Archaeology, UC 32179"
"Mittleres Reich, 12. Dynastie, Amenemhet III. Nimaatre","London, Petrie Museum of Egyptian Archaeology, UC 32037"
"Mittleres Reich, 12. Dynastie, Amenemhet III. Nimaatre","London, Petrie Museum of Egyptian Archaeology, UC 32058"
"Zweite Zwischenzeit, 13. Dynastie – Zweite Zwischenzeit, 17. Dynastie","London, British Museum, EA 10057London, British Museum, EA 10058"
"Zweite Zwischenzeit, 13. Dynastie","London, British Museum, EA 10769"
"Zweite Zwischenzeit, 13. Dynastie","Berlin, Ägyptisches Museum und Papyrussammlung, P. 10495"
"Zweite Zwischenzeit, 13. Dynastie, Chendjer Userkare – Zweite Zwischenzeit, 13. Dynastie, Sebekhotep III. Sechemresewadjtaui","Kairo, Ägyptisches Museum, CG 58069"
"Zweite Zwischenzeit, 17. Dynastie – Neues Reich, 18. Dynastie","New York City, Academy of Medicine, 217"
"Zweite Zwischenzeit, 17. Dynastie – Neues Reich, 18. Dynastie, Amenhotep I. Djeserkare","Assiut, Gebel Assiut al-gharbi, N13.1 TN13"
"Zweite Zwischenzeit, 17. Dynastie","Moskau, State Pushkin Museum of Fine Arts, 314"
"Zweite Zwischenzeit, 17. Dynastie","Berlin, Ägyptisches Museum und Papyrussammlung, P. 3033"
"Zweite Zwischenzeit, 17. Dynastie","Hatnub, Kalzitalabastersteinbruch, 52"
"Zweite Zwischenzeit, 17. Dynastie","Moskau, State Pushkin Museum of Fine Arts, 314 (Kol. 21)"
Neues Reich,"London, British Museum, EA 10222"
Neues Reich,"Assiut, Gebel Assiut al-gharbi, N13.1 TS30"
Neues Reich,"Assiut, Gebel Assiut al-gharbi, N13.1 TW34"
Neues Reich,"Kairo, Ägyptisches Museum, CG 25207"
Neues Reich,"Kairo, Ägyptisches Museum, CG 25209"
Neues Reich,"Kairo, Ägyptisches Museum, CG 25208"
Neues Reich,"Kairo, Ägyptisches Museum, CG 25212"
Neues Reich,"Kairo, Ägyptisches Museum, CG 25206"
"Neues Reich, 18. Dynastie","London, British Museum, EA 10060"
